expression	H3K27me3	H3K4me3	H3K27ac	H3K36me3
0.00696333	21.54	33.79	1.79	2.94
0	4.54	8.56	2.89	1.75
277.8	4.54	8.56	2.89	1.75
14.0562	4.54	8.56	2.89	1.75
46.6179	2.13	9.89	3.99	2.54
14.0562	2.13	9.89	3.99	2.54
17.9464	2.13	9.89	3.99	2.54
0.162319	16.15	13.04	3.76	6.30
1.71845	16.15	13.04	3.76	6.30
0.0160946	16.15	13.04	3.76	6.30
0.162319	24.49	13.68	4.12	2.54
1.71845	24.49	13.68	4.12	2.54
0.0160946	24.49	13.68	4.12	2.54
46.6179	1.27	56.49	11.91	1.53
17.9464	1.27	56.49	11.91	1.53
0.162319	18.03	20.43	2.31	1.85
1.71845	18.03	20.43	2.31	1.85
0.0160946	18.03	20.43	2.31	1.85
0.162319	20.63	9.37	2.94	2.78
1.71845	20.63	9.37	2.94	2.78
0.0160946	20.63	9.37	2.94	2.78
0.0719261	39.15	24.77	2.41	3.71
0.162319	39.15	24.77	2.41	3.71
1.71845	39.15	24.77	2.41	3.71
0.0160946	39.15	24.77	2.41	3.71
0.0719261	17.04	21.17	2.85	2.23
0.162319	17.04	21.17	2.85	2.23
1.71845	17.04	21.17	2.85	2.23
0.0160946	17.04	21.17	2.85	2.23
0.0719261	47.63	8.84	2.77	2.25
0.00696333	47.63	8.84	2.77	2.25
0.162319	47.63	8.84	2.77	2.25
1.71845	47.63	8.84	2.77	2.25
0.0719261	34.40	7.75	3.01	1.41
0.00696333	34.40	7.75	3.01	1.41
0.162319	34.40	7.75	3.01	1.41
1.71845	34.40	7.75	3.01	1.41
0.0160946	34.40	7.75	3.01	1.41
0.0719261	9.48	7.21	2.24	2.22
0.0160946	9.48	7.21	2.24	2.22
0.0719261	53.06	2.92	2.89	2.63
0.00696333	53.06	2.92	2.89	2.63
0.0160946	53.06	2.92	2.89	2.63
0.0719261	18.69	10.86	3.60	3.02
0.00696333	18.69	10.86	3.60	3.02
0.0160946	18.69	10.86	3.60	3.02
0.0719261	12.41	19.75	2.87	3.19
4.76187	3.26	12.61	5.83	1.86
0.0719261	20.30	26.73	2.68	1.76
0.0160946	20.30	26.73	2.68	1.76
4.76187	5.67	19.23	2.73	1.76
4.76187	4.02	23.97	4.98	2.01
4.76187	2.72	11.29	4.98	1.32
0.276517	9.57	16.68	1.37	1.51
0.0719261	9.57	16.68	1.37	1.51
10.024	1.06	7.74	4.70	4.65
6.79161	1.06	7.74	4.70	4.65
0.276517	8.09	11.34	4.00	2.71
0.276517	7.25	1.48	2.20	3.57
0.276517	12.47	0.54	3.20	2.94
0.276517	32.05	28.38	1.12	3.25
0.276517	24.67	10.04	5.07	1.74
1.66702	1.30	25.62	6.57	1.33
1.57201	1.30	25.62	6.57	1.33
45.7715	1.30	25.62	6.57	1.33
185.552	1.30	25.62	6.57	1.33
0.117373	1.21	2.58	10.31	3.58
9.15788	1.21	2.58	10.31	3.58
1.66702	1.21	2.58	10.31	3.58
1.57201	1.21	2.58	10.31	3.58
0.117373	0.86	10.42	11.44	1.88
9.15788	0.86	10.42	11.44	1.88
1.66702	0.86	10.42	11.44	1.88
1.57201	0.86	10.42	11.44	1.88
92.5769	0.86	10.42	11.44	1.88
43.439	0.86	10.42	11.44	1.88
0.0350614	39.72	50.96	2.79	1.68
0.124517	39.72	50.96	2.79	1.68
9.06412	2.54	6.41	5.65	1.54
90.0813	2.54	6.41	5.65	1.54
0.0986805	12.06	27.99	3.81	4.54
0.0350614	12.06	27.99	3.81	4.54
0.124517	12.06	27.99	3.81	4.54
